Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
income_streams[].stability,"La estabilidad del ingreso basada en su cantidad, con un rango de 0 a 1, donde 1 representa estabilidad perfecta.

**Nota:** Para transacciones con `frequency`=`SINGLE`, este valor devuelve `null`.",1,number,float,Yes,Yes,,
income_streams[].regularity,"La regularidad del ingreso se basa en su frecuencia, con un rango de 0 a 1, donde 1 representa una regularidad perfecta.

**Nota:** Para transacciones con `frequency`=`SINGLE`, este valor devuelve `null`.",1,number,float,Yes,Yes,,
income_streams[].trend,"La tendencia de ingresos durante un período de tiempo se calcula entre el último ingreso y el primer ingreso recibido, donde:
  - un número flotante negativo significa que la tendencia de ingresos está disminuyendo durante el período de tiempo.
  - un número flotante positivo significa que la tendencia de ingresos está aumentando durante el período de tiempo.

**Nota:** Para transacciones con `frequency`=`SINGLE`, este valor devuelve `null`.",0,number,float,Yes,Yes,,
income_streams[].lookback_periods,"Número de unidades de período (basadas en *meses móviles*) utilizadas para generar conocimientos y cálculos.

**Nota:** Un *mes móvil* es un período de 30 días. Por ejemplo, del 2023-01-15 al 2023-02-15.",9,integer,int32,Yes,No,,
income_streams[].full_periods,"Número de unidades de período (basado en *meses móviles*) con datos para realizar cálculos.

**Nota:** Un *mes móvil* es un período de 30 días. Por ejemplo, del 2023-01-15 al 2023-02-15.",9,integer,int32,Yes,No,,
income_streams[].periods_with_income,"Número de unidades de período (basadas en *meses móviles*) con al menos un ingreso disponible.

**Nota:** Un *mes móvil* es un período de 30 días. Por ejemplo, del 2023-01-15 al 2023-02-15.",9,integer,int32,Yes,No,,
income_streams[].number_of_incomes,Número de transacciones de ingresos durante los `lookback_periods`.,9,integer,int32,Yes,No,,
income_streams[].confidence,"Nivel de confianza de Belvo para ingresos futuros.

Devolvemos uno de los siguientes valores de enum:

  - `HIGH`
  - `MEDIUM`
  - `LOW`",HIGH,string,,Yes,No,"HIGH, MEDIUM, LOW",
income_source_type,"El tipo de fuente de la que generamos información sobre ingresos.
Devolvemos uno de los siguientes valores de 'enum':

  - `BANK`",BANK,string,,Yes,No,BANK,
first_transaction_date,"La fecha en que ocurrió la primera transacción, en formato `YYYY-MM-DD`.",2022-06-09,string,date,Yes,Yes,,
last_transaction_date,"La fecha en la que ocurrió la última transacción, en formato `YYYY-MM-DD`.",2023-02-09,string,date,Yes,No,,
best_working_day_to_charge,El mejor día laborable del mes para cobrar al usuario.,22,integer,int32,Yes,No,,
good_working_days_to_charge,Días laborales adicionales que se han identificado como buenos días para cobrar al usuario.,"[17, 7, 2]",array,,Yes,No,,
number_of_income_streams,Número de flujos de ingresos totales analizados.,1,integer,int32,Yes,No,,
monthly_average,Cantidad promedio de ingresos recibidos por mes en todas las cuentas para el usuario específico.,2500,number,float,Yes,No,,
monthly_average_regular,"Cantidad promedio de ingresos regulares (con una frecuencia de `MONTHLY`, `FORTNIGHTLY` o `WEEKLY`) recibidos por mes para el usuario específico.",2500,number,float,Yes,No,,
monthly_average_irregular,Monto promedio de ingresos irregulares (con una frecuencia de `SINGLE` o `IRREGULAR`) recibidos por mes para el usuario específico.,0,number,float,Yes,No,,
monthly_average_low_confidence,Cantidad promedio de ingresos recibidos por mes para el usuario específico con confianza `LOW`.,0,number,float,Yes,No,,
monthly_average_medium_confidence,Cantidad promedio de ingresos recibidos por mes para el usuario específico con confianza `MEDIUM`.,0,number,float,Yes,No,,
monthly_average_high_confidence,Cantidad promedio de ingresos recibidos por mes para el usuario específico con confianza `HIGH`.,2500,number,float,Yes,No,,
total_income_amount,Monto total de todos los ingresos recibidos para el usuario específico.,22500,number,float,Yes,No,,
total_regular_income_amount,"Cantidad total de ingresos regulares (con una frecuencia de `MONTHLY`, `FORTNIGHTLY`, `WEEKLY`) para el usuario específico.",22500,number,float,Yes,No,,
total_irregular_income_amount,Monto total de ingresos irregulares (con una frecuencia de `SINGLE` o `IRREGULAR`) para el usuario específico.,0,number,float,No,No,,
total_low_confidence,Cantidad total de ingresos para el usuario específico con confianza `LOW`.,0,number,float,Yes,No,,
total_medium_confidence,Cantidad total de ingresos para el usuario específico con confianza `MEDIUM`.,0,number,float,Yes,No,,
total_high_confidence,Cantidad total de ingresos para el usuario específico con confianza `HIGH`.,22500,number,float,Yes,No,,
